fecha	cp	minsplit	minbucket	maxdepth	corte	xval_repeats	xval_folds	ganancia	iteracion
20230907 033240	-0.777211298036363	7996	441	6	8985	10	5	52465000	245
20230907 033442	-0.28999595036312	5682	2838	20	9946	10	5	57561000	246
20230907 033729	-0.232615891658783	1776	393	17	8186	10	5	75341000	247
20230907 033937	-0.407839262395132	1944	349	8	8700	10	5	75460000	248
20230907 034224	-0.856407285435167	2014	411	16	8722	10	5	75600000	249
20230907 034422	-0.997839918105296	7999	2616	16	11791	10	5	49294000	250
20230907 034630	-0.576155815803069	4675	2335	10	5246	10	5	56777000	251
20230907 034830	-0.321608639808617	1418	344	7	8757	10	5	74011000	252
20230907 035041	-0.506650900522205	5846	1309	11	8916	10	5	58919000	253
20230907 035330	-0.176669957747297	1917	390	20	8272	10	5	75082000	254
20230907 035446	-0.785365498500353	5228	2610	3	14956	10	5	51275000	255
20230907 035729	-0.355979813148458	2020	365	14	8340	10	5	75040000	256
20230907 040033	-0.988075732510254	2014	242	20	7073	10	5	74739000	257
20230907 040244	-0.919400725484079	4631	2314	20	11157	10	5	63203000	258
20230907 040445	-0.870677621988498	1492	382	7	7577	10	5	74655000	259
20230907 040646	-0.709573354738356	1529	409	7	8660	10	5	75460000	260
20230907 040857	-0.999542004884596	1896	137	8	8573	10	5	75243000	261
20230907 041114	-0.789243919714699	1970	370	9	8648	10	5	75558000	262
20230907 041324	-0.791831721768272	1764	413	8	8690	10	5	75558000	263
20230907 041527	-0.832482424423153	1868	404	7	8654	10	5	75579000	264
20230907 041728	-0.742901060878656	1467	385	7	8670	10	5	74970000	265
20230907 041951	-0.3808786478024	2663	379	10	8264	10	5	73353000	266
20230907 042236	-0.216774269070378	1985	429	17	7500	10	5	75068000	267
20230907 042518	-0.42890669226756	2013	388	14	6445	10	5	73521000	268
20230907 042814	-0.0936134031742061	1767	350	18	5191	10	5	70294000	269
20230907 043101	-0.166647061446728	1781	413	15	8062	10	5	75264000	270
20230907 043412	-0.296283056675199	7999	6	20	7218	10	5	51212000	271
20230907 043600	-0.73963156571078	4031	2015	6	8754	10	5	62307000	272
20230907 043801	-0.402210742493905	7093	3544	20	9947	10	5	53977000	273
20230907 044108	-0.502150289657755	2100	251	20	8806	10	5	75901000	274
20230907 044358	-0.505467769438999	2010	423	20	8826	10	5	75425000	275
20230907 044648	-0.991334799975747	1987	246	15	8958	10	5	75460000	276
20230907 044947	-0.306538026939214	1988	292	20	7397	10	5	74795000	277
20230907 045246	-0.499173876961981	2026	275	20	9337	10	5	75327000	278
20230907 045450	-0.574522180891741	1771	235	7	8733	10	5	75243000	279
20230907 045749	-0.461378806085788	1998	273	20	8813	10	5	75495000	280
20230907 050004	-0.355198617238783	1354	372	8	8685	10	5	75201000	281
20230907 050204	-0.927577910004589	6834	3417	10	12176	10	5	50603000	282
20230907 050358	-0.403468459713207	2757	1375	7	11103	10	5	65681000	283
20230907 050642	-0.713820152755905	1784	338	20	7376	10	5	74683000	284
20230907 050919	-0.783636869979049	2007	397	15	7374	10	5	74739000	285
20230907 051156	-0.676205520609151	1952	335	16	8764	10	5	75201000	286
20230907 051437	-0.899930719566392	1771	376	20	8921	10	5	75068000	287
20230907 051715	-0.926371393466382	2093	395	20	9062	10	5	74956000	288
20230907 052008	-0.497911169175937	2019	260	20	7373	10	5	75271000	289
20230907 052204	-0.734494802889013	2450	1224	7	13692	10	5	62174000	290
20230907 052414	-0.0962935858772416	3576	1778	19	5013	10	5	57883000	291
20230907 052703	-0.503742901057268	2065	256	19	8799	10	5	75600000	292
20230907 052937	-0.298987962276234	2032	371	15	8170	10	5	74970000	293
20230907 053127	-0.395992349577186	4160	2067	7	14957	10	5	53795000	294
20230907 053404	-0.986193090742957	1920	561	20	6999	10	5	73388000	295
20230907 053601	-0.369262544334761	1410	215	7	8816	10	5	75327000	296
20230907 053840	-0.166886326606618	1743	430	17	8579	10	5	75292000	297
20230907 054114	-0.172936115689438	1823	422	14	7080	10	5	74928000	298
20230907 054346	-0.242242914280376	1901	415	15	7164	10	5	74893000	299
20230907 054625	-0.167510184579166	1823	414	18	7945	10	5	75285000	300
20230907 054821	-0.414981224671648	1766	278	7	8768	10	5	74718000	301
20230907 055027	-0.648132447553414	4403	2201	17	11993	10	5	61663000	302
20230907 055230	-0.999576547997784	4118	2056	18	6573	10	5	58975000	303
20230907 055425	-0.880294349902407	2202	1091	7	7305	10	5	66605000	304
20230907 055628	-0.999901658435154	3400	1699	20	13908	10	5	56574000	305
20230907 055849	-0.428880953435831	2317	1150	20	9384	10	5	67417000	306
20230907 060100	-0.663477240632284	3348	1672	20	8832	10	5	64414000	307
20230907 060326	-0.103231668410258	1872	933	20	11116	10	5	66899000	308
20230907 060443	-0.511613973201232	3832	1914	3	8943	10	5	57197000	309
20230907 060644	-0.770872986332881	4855	2427	20	6372	10	5	58758000	310
20230907 060921	-0.137637879533657	2002	432	20	9124	10	5	75369000	311
20230907 061213	-0.0962793323542617	1987	246	20	9175	10	5	75355000	312
20230907 061448	-0.0933571179474538	1889	409	20	9170	10	5	74830000	313
20230907 061612	-0.99964914270742	1275	82	4	14999	10	5	60536000	314
20230907 061806	-0.684497891020538	2002	238	7	12148	10	5	70938000	315
20230907 062101	-0.583317633759159	1986	220	20	7313	10	5	74739000	316
20230907 062335	-0.219224941792922	1452	396	14	8185	10	5	75173000	317
20230907 062615	-0.432050148931794	2015	351	16	8764	10	5	75677000	318
20230907 062850	-0.377171948928347	2057	441	16	8839	10	5	75124000	319
20230907 063029	-0.158067920275345	7991	3988	7	5004	10	5	48097000	320
